300,300,300,300,300,300,300,300,300,360,360,360,360,360,300,301,301,301,360,301
300,300,300,300,300,300,300,300,300,300,360,360,360,300,300,300,300,360,360,301
300,300,300,300,360,360,300,300,300,300,360,360,300,300,300,300,300,300,300,301
300,300,300,300,300,300,300,300,300,300,360,300,300,300,300,300,300,300,300,301
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
360,300,300,300,360,300,300,301,301,301,300,300,300,300,300,300,300,300,300,360
360,300,300,300,360,360,300,301,301,301,300,300,300,300,300,300,300,300,300,360
360,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,360
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,360,360,360,360,360
300,300,300,300,361,300,300,300,361,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
360,300,300,300,300,300,300,300,300,300,300,300,300,300,300,360,360,300,300,361
360,300,300,300,360,360,300,301,301,301,300,300,300,300,300,360,360,300,300,300
360,300,300,300,360,300,300,301,301,301,300,300,300,300,300,360,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,360,300,300,300,360
300,300,300,300,300,300,300,300,300,300,360,300,300,300,300,360,360,360,360,360
300,300,300,300,360,360,300,300,300,300,360,360,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,360,360,360,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,360,360,360,360,360,300,301,301,301,301,300
360,360,360,360,360,300,300,300,300,300,300,300,300,300,301,301,301,300,300,300
360,360,360,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,360
360,360,300,300,300,300,300,300,300,300,300,300,300,361,300,300,300,300,300,300
360,300,300,300,300,300,301,301,301,301,300,300,300,300,300,300,362,300,300,300
300,300,300,300,300,301,301,301,301,301,301,300,300,362,300,300,300,300,300,300
300,300,300,300,300,364,364,363,363,361,301,301,300,300,300,300,300,300,300,300
300,300,300,300,300,362,363,363,363,363,361,301,301,300,300,300,362,300,300,300
300,300,300,300,300,363,363,363,363,363,363,301,301,300,300,300,300,300,300,300
300,300,300,300,300,363,363,363,363,363,363,301,301,300,300,300,300,300,300,300
301,301,300,300,300,300,363,363,363,363,301,301,301,300,300,300,300,300,300,300
363,364,300,300,300,300,362,363,363,301,301,301,300,300,300,360,360,301,300,300
300,300,300,300,300,300,364,363,364,300,300,300,300,300,300,300,360,301,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,361,360,301,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,301,360,360,360,301,300,300
300,300,300,300,300,363,301,300,362,300,300,300,300,301,301,301,301,301,300,300
300,300,300,300,300,363,301,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,363,301,300,300,300,300,300,300,300,300,300,300,364,363,364
360,360,300,300,300,300,300,300,300,300,300,363,300,300,300,300,300,300,300,300
360,360,360,300,300,300,300,300,300,300,300,300,300,300,301,301,300,300,300,300
360,360,360,360,300,300,300,300,300,300,300,300,300,301,301,301,301,300,300,301
360,360,360,360,360,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
